CP 364112, 1269, 1260, 0, 0, 1, 0, 0
CP 364212, 1269, 1260, 0, 0, 1, 0, 0
364247, 205587,58, 197, 6, 12, 556
CP 364312, 1269, 1260, 0, 0, 1, 0, 0
CP 364412, 1269, 1261, 0, 0, 1, 0, 0
364414, 205590,59, 197, 6, 12, 558
CP 364512, 1269, 1260, 0, 0, 1, 0, 0
364580, 205591,59, 197, 6, 12, 561
CP 364612, 1269, 1260, 0, 0, 1, 0, 0
CP 364712, 1269, 1261, 0, 0, 1, 0, 0
364747, 205586,58, 197, 6, 12, 562
CP 364812, 1269, 1256, 0, 0, 1, 0, 0
CP 364912, 1269, 1261, 0, 0, 1, 0, 0
364914, 205533,58, 197, 6, 12, 560
CP 365012, 1271, 1260, 0, 0, 1, 0, 0
365080, 205541,59, 197, 6, 12, 555
CP 365112, 1269, 1260, 0, 0, 1, 0, 0
CP 365212, 1269, 1256, 0, 0, 1, 0, 0
365247, 205498,59, 197, 6, 12, 552
CP 365312, 1269, 1260, 0, 0, 1, 0, 0
CP 365412, 1271, 1261, 0, 0, 1, 0, 0
365413, 205478,58, 197, 6, 12, 562
CP 365512, 1269, 1261, 0, 0, 1, 0, 0
365580, 205512,58, 197, 6, 11, 552
CP 365612, 1269, 1260, 0, 0, 1, 0, 0
CP 365712, 1269, 1261, 0, 0, 1, 0, 0
365747, 205491,58, 197, 6, 11, 565
CP 365812, 1269, 1260, 0, 0, 1, 0, 0
CP 365912, 1269, 1260, 0, 0, 1, 0, 0
365913, 205484,58, 197, 6, 11, 554
CP 366012, 1269, 1260, 0, 0, 1, 0, 0
366080, 205495,58, 197, 6, 12, 552
CP 366112, 1269, 1260, 0, 0, 1, 0, 0
CP 366212, 1269, 1260, 0, 0, 1, 0, 0
366246, 205498,59, 197, 6, 12, 564
CP 366312, 1269, 1261, 0, 0, 1, 0, 0
CP 366412, 1269, 1260, 0, 0, 1, 0, 0
366413, 205479,58, 197, 6, 12, 556
CP 366512, 1269, 1261, 0, 0, 1, 0, 0
366579, 205444,59, 197, 6, 12, 559
CP 366612, 1269, 1260, 0, 0, 1, 0, 0
CP 366712, 1269, 1260, 0, 0, 1, 0, 0
366746, 205438,59, 197, 6, 12, 566
CP 366812, 1269, 1261, 0, 0, 1, 0, 0
CP 366912, 1269, 1260, 0, 0, 1, 0, 0
366913, 205456,59, 197, 6, 12, 565
CP 367012, 1269, 1260, 0, 0, 1, 0, 0
367079, 205418,58, 197, 6, 11, 554
CP 367112, 1269, 1256, 0, 0, 1, 0, 0
CP 367212, 1269, 1260, 0, 0, 1, 0, 0
367246, 205434,58, 197, 6, 11, 561
CP 367312, 1269, 1256, 0, 0, 1, 0, 0
CP 367412, 1269, 1260, 0, 0, 1, 0, 0
367413, 205388,58, 197, 6, 11, 558
CP 367512, 1269, 1260, 0, 0, 1, 0, 0
367579, 205382,58, 197, 6, 12, 566
CP 367612, 1269, 1260, 0, 0, 1, 0, 0
CP 367712, 1269, 1260, 0, 0, 1, 0, 0
367747, 204875,58, 197, 6, 11, 547
CP 367812, 1269, 1260, 0, 0, 1, 0, 0
CP 367912, 1269, 1261, 0, 0, 1, 0, 0
367913, 205565,58, 197, 6, 12, 559
CP 368012, 1269, 1260, 0, 0, 1, 0, 0
368080, 205577,59, 197, 6, 12, 562
CP 368112, 1269, 1256, 0, 0, 1, 0, 0
CP 368212, 1269, 1261, 0, 0, 1, 0, 0
368247, 205579,58, 197, 6, 12, 555
CP 368312, 1269, 1260, 0, 0, 1, 0, 0
CP 368412, 1269, 1260, 0, 0, 1, 0, 0
368413, 205553,58, 197, 6, 12, 551
CP 368512, 1269, 1260, 0, 0, 1, 0, 0
368580, 205580,58, 197, 6, 11, 558
CP 368612, 1269, 1260, 0, 0, 1, 0, 0
CP 368712, 1269, 1260, 0, 0, 1, 0, 0
368746, 205586,58, 197, 6, 12, 563
CP 368812, 1269, 1260, 0, 0, 1, 0, 0
CP 368912, 1269, 1260, 0, 0, 1, 0, 0
368913, 205574,59, 197, 6, 12, 557
CP 369012, 1269, 1260, 0, 0, 1, 0, 0
369080, 205600,58, 197, 6, 12, 554
CP 369112, 1269, 1261, 0, 0, 1, 0, 0
CP 369212, 1269, 1261, 0, 0, 1, 0, 0
369246, 205550,58, 197, 6, 12, 567
CP 369312, 1269, 1261, 0, 0, 1, 0, 0
CP 369412, 1269, 1256, 0, 0, 1, 0, 0
369413, 205536,58, 197, 6, 12, 552
CP 369512, 1269, 1261, 0, 0, 1, 0, 0
369579, 205552,58, 197, 6, 12, 557
CP 369612, 1269, 1260, 0, 0, 1, 0, 0
CP 369712, 1269, 1256, 0, 0, 1, 0, 0
369746, 205541,58, 197, 6, 11, 559
CP 369812, 1270, 1260, 0, 0, 1, 0, 0
CP 369912, 1271, 1260, 0, 0, 1, 0, 0
369913, 205497,58, 197, 6, 11, 558
CP 370012, 1269, 1260, 0, 0, 1, 0, 0
370079, 205459,58, 197, 6, 12, 562
CP 370112, 1269, 1260, 0, 0, 1, 0, 0
CP 370212, 1269, 1260, 0, 0, 1, 0, 0
370246, 205401,58, 197, 6, 12, 550
CP 370312, 1269, 1256, 0, 0, 1, 0, 0
CP 370412, 1269, 1260, 0, 0, 1, 0, 0
370413, 205389,58, 197, 6, 12, 563
CP 370512, 1269, 1256, 0, 0, 1, 0, 0
370579, 205398,58, 197, 6, 12, 557
CP 370612, 1269, 1260, 0, 0, 1, 0, 0
CP 370712, 1269, 1260, 0, 0, 1, 0, 0
370746, 205401,58, 197, 6, 12, 555
CP 370812, 1269, 1260, 0, 0, 1, 0, 0
CP 370912, 1269, 1260, 0, 0, 1, 0, 0
370913, 205331,58, 197, 6, 11, 550
CP 371012, 1269, 1256, 0, 0, 1, 0, 0
371079, 205335,59, 197, 6, 12, 555
CP 371112, 1269, 1261, 0, 0, 1, 0, 0
CP 371212, 1269, 1260, 0, 0, 1, 0, 0
371245, 205322,58, 197, 6, 12, 561
CP 371312, 1269, 1260, 0, 0, 1, 0, 0
CP 371412, 1269, 1260, 0, 0, 1, 0, 0
371413, 205288,58, 197, 6, 12, 554
CP 371512, 1269, 1260, 0, 0, 1, 0, 0
371579, 205300,58, 197, 6, 11, 559
CP 371612, 1269, 1260, 0, 0, 1, 0, 0
CP 371712, 1269, 1261, 0, 0, 1, 0, 0
371745, 205287,58, 197, 6, 12, 554
CP 371812, 1269, 1260, 0, 0, 1, 0, 0
CP 371912, 1269, 1256, 0, 0, 1, 0, 0
371913, 205246,58, 197, 6, 11, 552
CP 372012, 1269, 1256, 0, 0, 1, 0, 0
372079, 204760,59, 197, 6, 12, 551
CP 372112, 1269, 1261, 0, 0, 1, 0, 0
CP 372212, 1269, 1260, 0, 0, 1, 0, 0
372246, 205449,58, 197, 6, 11, 556
