3423,AC,3291,3340107,-137741855,160,183,-559,5444
3583,AC,3710,3340763,-232042682,131,150,-605,6640
3743,AC,3941,3334386,403598607,145,166,-578,6003
3913,AC,3389,3334973,-188565830,145,166,-573,6003
4093,AC,3334,3340614,71172457,160,183,-547,5444
4065315, CPx100H_D, 1210, 0
4253,AC,4163,3350261,180089642,139,159,-612,6260
4413,AC,4013,3321885,-72910009,136,156,615,6397
4573,AC,3341,3335327,119414408,145,166,-543,6003
4743,AC,3679,3335279,406977138,145,166,-555,6003
4893,AC,3825,3340310,40439926,131,150,-594,6640
5053,AC,4074,3349836,31628266,139,159,-614,6260
5065315, CPx100H_D, 1210, 0
5213,AC,3485,3330092,537696792,137,157,525,6351
5383,AC,3764,3335228,378612668,145,166,-565,6003
5543,AC,4152,3335486,592155581,145,166,-583,6003
5693,AC,4249,3329590,300881215,130,149,-608,6690
5863,AC,3580,3336934,-55544552,145,166,-581,6003
6043,AC,3562,3341096,224650778,160,183,-558,5444
6065315, CPx100H_D, 1210, 0
6193,AC,4065,3341374,230658752,131,150,-600,6639
6363,AC,4053,3334920,475373465,145,166,-583,6003
6533,AC,3554,3334661,236293292,145,166,-556,6003
6693,AC,3417,3334767,60715767,145,166,-556,6003
6853,AC,4274,3350121,-173841100,139,159,-641,6260
7013,AC,4163,3329530,292285513,137,157,603,6351
7065315, CPx100H_D, 1210, 0
7183,AC,3465,3335406,269181057,145,166,-545,6003
7343,AC,3576,3335476,129244030,145,166,-567,6003
7493,AC,3954,3330421,468320020,130,149,-575,6690
7653,AC,4124,3350397,-276776667,139,159,-639,6260
7833,AC,3344,3334142,142828390,152,174,541,5728
7993,AC,3451,3335520,118468032,145,166,-555,6003
8065315, CPx100H_D, 1210, 0
8163,AC,4175,3334975,474414744,145,166,-592,6003
8313,AC,3945,3329610,-174151550,130,149,-618,6690
8493,AC,3258,3340549,-65375502,160,183,-550,5444
8663,AC,3287,3335700,-52450959,145,166,-552,6003
8833,AC,4056,3335866,-326667338,145,166,-636,6003
8983,AC,3392,3341710,-125089468,131,150,-569,6640
9065315, CPx100H_D, 1210, 0
9163,AC,3275,3331659,49287358,159,182,-541,5478
9333,AC,3293,3346666,-188941399,146,167,-565,5962
9483,AC,3784,3328998,257689915,130,149,-575,6690
9643,AC,3415,3335624,-525998012,145,166,-603,6003
9833,AC,3220,3340448,-206106771,160,183,-558,5444
9983,AC,3492,3330709,246680065,130,149,-549,6690
10065315, CPx100H_D, 891, 0
10163,AC,3917,3341015,372119698,160,183,-579,5444
10333,AC,3692,3336435,454763458,145,166,-553,6003
10513,AC,3909,3340657,1026842442,160,183,-533,5444
10663,AC,4401,3330983,1817048684,130,149,-525,6690
10833,AC,4643,3346887,1472817983,146,167,-566,5962
11013,AC,4166,3331664,1810749052,159,182,-504,5478
11065315, CPx100H_D, 891, 0
11183,AC,4269,3338116,1526231974,145,166,-532,6003
11343,AC,4604,3347755,1887965912,146,167,-539,5962
11513,AC,4348,3336323,1578692292,145,166,-536,6003
11693,AC,4423,3332087,2032932333,159,182,-513,5478
11883,AC,4267,3341543,1500481285,160,183,-534,5444
12043,AC,4633,3337217,1187215539,145,166,-581,6003
12065315, CPx100H_D, 891, 0
12213,AC,4218,3337124,1596907395,145,166,-523,6003
12393,AC,4212,3341393,1520094340,160,183,-528,5444
12573,AC,4432,3353766,2022721522,156,179,-517,5582
12733,AC,4434,3340123,1455170847,134,154,550,6492
12893,AC,4294,3337138,1750056930,145,166,-521,6003
13083,AC,4087,3341362,1382447237,160,183,-526,5444
13065315, CPx100H_D, 891, 500
13243,AC,4335,3336225,1257797938,145,166,-555,6003
13413,AC,4321,3336200,1741217876,145,166,-523,6003
13593,AC,4272,3340936,1605051957,160,183,-528,5444
13773,AC,4436,3353015,1568849235,156,179,-545,5582
13913,AC,5127,3347688,1734345151,120,138,584,7243
14083,AC,5381,3335801,-1964124736,145,166,-567,6003
14065315, CPx100H_D, 891, 500
14243,AC,4516,3335296,1192901904,145,166,-572,6003
14413,AC,4457,3334896,1208940741,145,166,-567,6003
14583,AC,4621,3335282,1350920142,145,166,-570,6003
14763,AC,4327,3340448,1486874097,160,183,-540,5444
14933,AC,4344,3335079,1688056226,145,166,-529,6003
15093,AC,4303,3328061,1759533066,144,165,-520,6044
15065315, CPx100H_D, 154, 1000
15263,AC,6357,3346795,2036340164,146,167,-632,5962
15433,AC,4171,3335651,1450825555,145,166,-529,6003
15593,AC,4143,3335969,1681853797,145,166,-511,6003
15763,AC,4218,3336278,1455427476,145,166,-532,6003
15913,AC,4640,3342292,854380811,131,150,-601,6640
16043,AC,4883,3335645,1934699552,116,133,-556,7491
16065315, CPx100H_D, 847, 500
16213,AC,4850,3335315,1517254186,145,166,-576,6003
16363,AC,4358,3329749,2097395642,130,149,-504,6690
16513,AC,4423,3341625,-125744703,131,150,-646,6640
16683,AC,4512,3334579,1915690117,145,166,-529,6003
16863,AC,4292,3339845,1760813514,160,183,-520,5444
17013,AC,4279,3328513,1279435821,130,149,-548,6690
17065315, CPx100H_D, 572, 500
17183,AC,4489,3335891,1858824074,145,166,-531,6003
17363,AC,4345,3340238,1294244038,160,183,-553,5444
17543,AC,117404,3339203,802307062,160,183,-444,5444
17733,AC,88319,3330936,861810065,159,182,-687,5478
17913,AC,69632,3340577,-936148732,160,183,-854,5444
18093,AC,69398,3340697,1284846366,160,183,-862,5444
18065315, CPx100H_D, 583, 500
18283,AC,69675,3332118,1686795431,159,182,-860,5478
18463,AC,69438,3341201,444062576,160,183,-865,5444
