V, 4332012, 517
V, 4912333, 517
V, 5304427, 517
V, 5517162, 517
V, 5623904, 517
V, 5566110, 517
V, 5049885, 517
V, 4314555, 517
V, 3549550, 517
V, 2692033, 518
V, 1774025, 517
V, 738029, 517
V, -509294, 517
V, -1671617, 517
V, -2682559, 517
V, -3567584, 517
V, -4254323, 517
V, -4845903, 517
V, -5269030, 517
V, -5507444, 518
V, -5619697, 517
V, -5596513, 517
V, -5130197, 517
V, -4400476, 517
V, -3641038, 517
V, -2795797, 517
V, -1884792, 517
V, -882563, 517
V, 348162, 518
V, 1528318, 517
V, 2556734, 517
V, 3472055, 517
V, 4178385, 517
V, 4774090, 517
V, 5225118, 517
V, 5463955, 517
V, 5609218, 517
V, 5618348, 517
V, 5201445, 517
V, 4493639, 518
V, 3741941, 517
V, 2918940, 517
V, 2003644, 517
V, 1013053, 517
V, -203092, 517
V, -1395181, 517
V, -2437746, 517
V, -3370995, 517
V, -4097695, 517
V, -4704659, 518
V, -5188180, 517
V, -5449107, 517
V, -5603337, 517
V, -5630393, 517
V, -5275355, 517
V, -4595623, 517
V, -3839949, 517
V, -3021451, 517
V, -2110365, 517
V, -1146347, 518
V, 41815, 517
V, 1249429, 517
V, 2318337, 517
V, 3269792, 517
V, 4020202, 517
V, 4632245, 517
V, 5145882, 517
V, 5414423, 517
V, 5587057, 517
V, 5635040, 518
V, 5341752, 517
V, 4683445, 517
V, 3936288, 517
V, 3134023, 517
V, 2223290, 517
V, 1276483, 517
V, 102111, 517
V, -1119032, 517
V, -2201222, 518
V, -3157751, 517
V, -3937831, 517
V, -4558556, 517
V, -5093288, 517
V, -5391670, 517
V, -5578294, 517
V, -5633429, 517
V, -5413001, 517
V, -4765501, 517
V, -4027963, 517
V, -3234001, 518
V, -2325861, 517
V, -1399472, 517
V, -258375, 517
V, 971121, 517
V, 2076275, 517
V, 3042824, 517
V, 3853044, 517
V, 4489667, 517
V, 5042943, 517
V, 5363123, 518
V, 5554648, 517
V, 5630798, 517
V, 5471576, 517
V, 4854388, 517
V, 4127977, 517
V, 3338243, 517
V, 2441949, 517
V, 1520994, 517
V, 412653, 517
V, -832982, 518
V, -1951549, 517
V, -2930580, 517
V, -3766266, 517
V, -4413220, 517
V, -4984682, 517
V, -5333985, 517
V, -5546071, 517
V, -5627323, 517
V, -5522537, 518
V, -4942921, 517
V, -4217201, 517
V, -3432582, 517
V, -2549927, 517
V, -1634118, 517
V, -569378, 517
V, 676409, 517
V, 1819709, 517
V, 2817673, 517
V, 3677935, 518
V, 4341474, 517
V, 4920012, 517
V, 5306644, 517
V, 5518528, 517
V, 5622187, 517
V, 5555813, 517
V, 5028695, 517
V, 4313876, 517
V, 3534743, 517
V, 2672665, 518
V, 1754386, 517
V, 709761, 517
V, -537977, 517
V, -1693831, 517
V, -2697752, 517
V, -3584868, 517
V, -4263587, 517
V, -4855755, 517
V, -5273632, 517
V, -5498569, 518
